index, frame, sample, time, raw[0], cal[0]
0,10,0,0.0107407,103,0.0830037
1,11,0,0.0214815,96,0.0773626
2,12,0,0.0322222,99,0.0797802
3,13,0,0.042963,96,0.0773626
4,14,0,0.0537037,104,0.0838095
5,15,0,0.0644444,95,0.0765568
6,16,0,0.0751852,105,0.0846154
7,17,0,0.0859259,100,0.0805861
8,18,0,0.0966667,96,0.0773626
9,19,0,0.107407,101,0.0813919
10,20,0,0.118148,100,0.0805861
11,21,0,0.128889,100,0.0805861
12,22,0,0.13963,98,0.0789744
13,23,0,0.15037,96,0.0773626
14,24,0,0.161111,102,0.0821978
15,25,0,0.171852,96,0.0773626
16,26,0,0.182593,104,0.0838095
17,27,0,0.193333,96,0.0773626
18,28,0,0.204074,99,0.0797802
19,29,0,0.214815,101,0.0813919
20,30,0,0.225556,98,0.0789744
21,31,0,0.236296,95,0.0765568
22,32,0,0.247037,98,0.0789744
23,33,0,0.257778,96,0.0773626
24,34,0,0.268519,100,0.0805861
25,35,0,0.279259,103,0.0830037
26,36,0,0.29,95,0.0765568
27,37,0,0.300741,98,0.0789744
28,38,0,0.311481,103,0.0830037
29,39,0,0.322222,97,0.0781685
30,40,0,0.332963,100,0.0805861
31,41,0,0.343704,101,0.0813919
32,42,0,0.354444,99,0.0797802
33,43,0,0.365185,99,0.0797802
34,44,0,0.375926,99,0.0797802
35,45,0,0.386667,99,0.0797802
36,46,0,0.397407,97,0.0781685
37,47,0,0.408148,100,0.0805861
38,48,0,0.418889,100,0.0805861
39,49,0,0.42963,95,0.0765568
40,50,0,0.44037,98,0.0789744
41,51,0,0.451111,99,0.0797802
42,52,0,0.461852,98,0.0789744
43,53,0,0.472593,97,0.0781685
44,54,0,0.483333,95,0.0765568
45,55,0,0.494074,103,0.0830037
46,56,0,0.504815,98,0.0789744
47,57,0,0.515556,100,0.0805861
48,58,0,0.526296,94,0.0757509
49,59,0,0.537037,104,0.0838095
50,60,0,0.547778,104,0.0838095
51,61,0,0.558519,94,0.0757509
52,62,0,0.569259,101,0.0813919
53,63,0,0.58,100,0.0805861
54,64,0,0.590741,96,0.0773626
55,65,0,0.601481,100,0.0805861
56,66,0,0.612222,96,0.0773626
57,67,0,0.622963,100,0.0805861
58,68,0,0.633704,98,0.0789744
59,69,0,0.644444,96,0.0773626
60,70,0,0.655185,101,0.0813919
61,71,0,0.665926,98,0.0789744
62,72,0,0.676667,98,0.0789744
63,73,0,0.687407,103,0.0830037
64,74,0,0.698148,104,0.0838095
65,75,0,0.708889,98,0.0789744
66,76,0,0.71963,96,0.0773626
67,77,0,0.73037,100,0.0805861
68,78,0,0.741111,96,0.0773626
69,79,0,0.751852,99,0.0797802
70,80,0,0.762593,103,0.0830037
71,81,0,0.773333,98,0.0789744
72,82,0,0.784074,100,0.0805861
73,83,0,0.794815,104,0.0838095
74,84,0,0.805556,99,0.0797802
75,85,0,0.816296,98,0.0789744
76,86,0,0.827037,100,0.0805861
77,87,0,0.837778,102,0.0821978
78,88,0,0.848519,97,0.0781685
79,89,0,0.859259,102,0.0821978
80,90,0,0.87,98,0.0789744
81,91,0,0.880741,102,0.0821978
82,92,0,0.891481,102,0.0821978
83,93,0,0.902222,100,0.0805861
84,94,0,0.912963,100,0.0805861
85,95,0,0.923704,99,0.0797802
86,96,0,0.934444,99,0.0797802
87,97,0,0.945185,97,0.0781685
88,98,0,0.955926,104,0.0838095
89,99,0,0.966667,98,0.0789744
90,100,0,0.977407,94,0.0757509
91,101,0,0.988148,99,0.0797802
92,102,0,0.998889,101,0.0813919
93,103,0,1.00963,102,0.0821978
94,104,0,1.02037,101,0.0813919
95,105,0,1.03111,94,0.0757509
96,106,0,1.04185,96,0.0773626
97,107,0,1.05259,95,0.0765568
98,108,0,1.06333,103,0.0830037
99,109,0,1.07407,102,0.0821978
100,110,0,1.08481,101,0.0813919
101,111,0,1.09556,97,0.0781685
102,112,0,1.1063,100,0.0805861
103,113,0,1.11704,101,0.0813919
104,114,0,1.12778,101,0.0813919
105,115,0,1.13852,102,0.0821978
106,116,0,1.14926,104,0.0838095
107,117,0,1.16,104,0.0838095
108,118,0,1.17074,102,0.0821978
109,119,0,1.18148,102,0.0821978
